ts_utc,file,speaker,pred_class,confidence,entropy,rms,text,prob_happy,prob_angry,prob_fear,prob_calm,prob_sad,prob_surprise
2025-12-31T16:52:13+00:00,mic:0,Speaker_0,calm,0.77198952,0.65061297,0.01738282,อบ ใน สิ่ง ที่ เรา ชอบ จะ ไป แงาว เลยง่,0.18265681,0.77198952,0.00000000,0.00000000,0.04535368,0.00000000
2025-12-31T16:52:26+00:00,mic:1,Speaker_0 [Match: Medium - Check for Clone,fear,0.57892925,0.91636596,0.01025705,ว่า อิน กับ เรื่อง อะไร ก็ จะ อิน ไป ด้วย กั,0.34730992,0.00000000,0.57892925,0.00000000,0.05631000,0.01745072
2025-12-31T16:52:37+00:00,mic:2,Speaker_0 [Match: Low - Tone Change?,angry,0.97922319,0.10104695,0.01085018,ใชชาย ห่าร เข้า อ เปอร์ เรท ง่าย,0.97922319,0.00000000,0.00000000,0.00000000,0.02077675,0.00000000
2025-12-31T16:52:38+00:00,mic:3,Speaker_0 [Match: Low - Tone Change?,angry,1.00000000,0.00000000,0.01202618,หาร ก็ เอา เปอเรด ง่าย ึถ้า,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025-12-31T16:52:39+00:00,mic:4,Speaker_0 [Match: Low - Tone Change?,angry,1.00000000,0.00000000,0.01073602,ถ้า เรา จง มาก นี แคิม โฟอร์ เลย งะ,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025-12-31T16:52:43+00:00,mic:5,Speaker_0 [Match: Medium - Check for Clone,happy,0.99444085,0.03582744,0.01038434,อืง เก้า คนเล็ก คน เล็ก เด็ก อะไร่ คนุม,0.00000000,0.00000000,0.00000000,0.99444085,0.00516677,0.00039246
2025-12-31T16:52:44+00:00,mic:6,Speaker_0 [Match: Medium - Check for Clone,angry,1.00000000,0.00000000,0.01098020,คน เล็ก เล็ก อะไร คน กลุ่ม เล็ก เล็ก,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025-12-31T16:52:45+00:00,mic:7,Speaker_0 [Match: Low - Tone Change?,angry,0.95382428,0.18709711,0.01260354,ณ คลุ่ม เล็ก เล็กเขาะ นมเลย,0.95382428,0.00000000,0.04617574,0.00000000,0.00000000,0.00000000
2025-12-31T16:52:46+00:00,mic:8,Speaker_0 [Match: Low - Tone Change?,angry,1.00000000,0.00000000,0.01000914,เขาะ หนู้ อ เลย ไง่ คว่ะ,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025-12-31T16:53:22+00:00,mic:9,Speaker_1,angry,1.00000000,0.00000000,0.01124588,นเพื่อน ขา เอ้ะ,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
